subject,precision.pmt,precision.rg,recall.pmt,recall.rg,fmeasure.pmt,fmeasure.rg,auc.pmt,auc.rg
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\ews-java-api.arff,0.984322758,0.002038027,0.977427742,0.045144515,0.979431128,0.003899991,0.988828315,0.5
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\exp4j.arff,0.964548028,0.330137891,0.962711864,0.574576271,0.962472466,0.419335535,0.96947314,0.5
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\expiringmap.arff,0.970324781,0.020142694,0.962479608,0.141924959,0.964250561,0.03527849,0.984637909,0.5
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\fastweixin.arff,0.986778361,7.59E-04,0.979763912,0.027543564,0.982046833,0.001476624,0.990690987,0.5
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\flip-tables.arff,0.886396152,0.869240771,0.883458647,0.932330827,0.884915811,0.899681109,0.629480287,0.5
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\gdx-artemis.arff,0.894255374,0.283531545,0.874375446,0.532476802,0.871663802,0.370030456,0.899058526,0.5
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\gelfj.arff,0.862357792,0.099067745,0.782810685,0.31475029,0.79040614,0.150701994,0.869644756,0.5
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\GenericTree.arff,0.924095189,0.664189097,0.916299559,0.814977974,0.906110516,0.731897695,0.93951094,0.5
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\geo.arff,0.884138334,0.52892562,0.881818182,0.727272727,0.874537227,0.612440191,0.852356771,0.5
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\geocluster-facet.arff,0.918635764,0.236769865,0.902298851,0.486590038,0.901618836,0.318540901,0.950552356,0.5
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\geohash-java.arff,0.857344358,0.570659458,0.837398374,0.755420054,0.80741625,0.650168553,0.774176118,0.5
