D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\dropwizard-quartz.arff,naive,0.871794872,0.848484848,0.791666667,0.652066116,0.984848485,0.984848485,0.151515152,0.151515152,0.833333333
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\efflux.arff,naive,0.913644909,0.889064475,0.892015499,0.950681787,0.428571429,0.43710493,0.102085967,0.110619469,0.326485461
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\elasticsearch-readonlyrest-plugin.arff,naive,0.894211266,0.885304659,0.884015239,0.926655663,0.609318996,0.630824373,0.078853047,0.100358423,0.53046595
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\elasticsearch-reindex.arff,naive,0.946646463,0.92849162,0.932207007,0.969001306,0.267039106,0.268156425,0.069273743,0.070391061,0.197765363
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\evernote-sdk-java.arff,naive,0.999190211,0.998866304,0.998970876,0.999715371,0.003017868,0.003385121,9.42E-04,0.001309339,0.002075782
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\evo-inflector.arff,naive,0.97644122,0.976076555,0.976056773,0.996146789,0.464114833,0.483253589,-0.014354067,0.004784689,0.4784689
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\ews-java-api.arff,naive,0.984322758,0.977427742,0.979431128,0.988828315,0.066134077,0.067302257,0.020989562,0.022157742,0.045144515
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\exp4j.arff,naive,0.964548028,0.962711864,0.962472466,0.96947314,0.608474576,0.610169492,0.033898305,0.03559322,0.574576271
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\expiringmap.arff,naive,0.970324781,0.962479608,0.964250561,0.984637909,0.179445351,0.179445351,0.037520392,0.037520392,0.141924959
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\fastweixin.arff,naive,0.986778361,0.979763912,0.982046833,0.990690987,0.04440697,0.049465992,0.016863406,0.021922428,0.027543564
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\flip-tables.arff,naive,0.886396152,0.883458647,0.884915811,0.629480287,0.928571429,0.992481203,-0.003759398,0.060150376,0.932330827
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\gdx-artemis.arff,naive,0.894255374,0.874375446,0.871663802,0.899058526,0.648108494,0.656673804,0.115631692,0.124197002,0.532476802
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\gelfj.arff,naive,0.862357792,0.782810685,0.79040614,0.869644756,0.518002323,0.542392567,0.203252033,0.227642276,0.31475029
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\GenericTree.arff,naive,0.924095189,0.916299559,0.906110516,0.93951094,0.898678414,0.898678414,0.083700441,0.083700441,0.814977974
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\geo.arff,naive,0.884138334,0.881818182,0.874537227,0.852356771,0.809090909,0.829545455,0.081818182,0.102272727,0.727272727
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\geocluster-facet.arff,naive,0.918635764,0.902298851,0.901618836,0.950552356,0.584291188,0.584291188,0.097701149,0.097701149,0.486590038
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\geohash-java.arff,naive,0.857344358,0.837398374,0.80741625,0.774176118,0.909891599,0.932926829,0.154471545,0.177506775,0.755420054
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\geoip-api-java.arff,naive,0.970013143,0.959766694,0.962419789,0.982396121,0.140697536,0.143673372,0.037376503,0.040352339,0.103321033
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\geojson-jackson.arff,naive,0.933910307,0.922580645,0.922696697,0.95796354,0.529032258,0.529032258,0.077419355,0.077419355,0.451612903
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\getdown.arff,naive,0.994726296,0.9923771,0.993056542,0.997409278,0.024735532,0.024735532,0.0076229,0.0076229,0.017112632
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\glacieruploader.arff,naive,0.913746898,0.88172043,0.885360557,0.895500961,0.436827957,0.436827957,0.11827957,0.11827957,0.318548387
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\greplin-bloom-filter.arff,naive,0.785028714,0.750337382,0.728626625,0.780058992,0.786774629,0.827260459,0.201079622,0.241565452,0.585695007
